ID_Incendio,Real_Operacionais_Man,Previsto_Operacionais_Man,Erro_Operacionais_Man,Real_Meios_Terrestres,Previsto_Meios_Terrestres,Erro_Meios_Terrestres,Real_Meios_Aereos,Previsto_Meios_Aereos,Erro_Meios_Aereos
2019150019507,4,5,1,1,1,0,0,0,0
20251035764,12,6,-6,3,2,-1,0,0,0
20241432923,5,4,-1,2,1,-1,0,0,0
2021130126448,5,6,1,1,2,1,0,0,0
2020080038780,7,6,-1,2,2,0,0,0,0
20231090990,2,5,3,1,2,1,0,0,0
2020180050708,5,6,1,1,2,1,0,0,0
20240902332,2,6,4,1,2,1,0,0,0
2020130119266,5,5,0,1,1,0,0,0,0
2021180012760,4,5,1,1,1,0,0,0,0
2022130139802,15,6,-9,5,2,-3,0,0,0
20230892206,5,5,0,1,1,0,0,0,0
2020010063614,7,6,-1,2,2,0,0,0,0
2019130052947,5,5,0,1,1,0,0,0,0
2019100009663,7,6,-1,2,2,0,0,0,0
2019040029816,12,6,-6,3,2,-1,0,0,0
2022030087009,7,6,-1,2,2,0,0,0,0
2021100050803,12,5,-7,3,2,-1,0,0,0
2020140032516,4,4,0,2,2,0,0,0,0
2021110148232,5,5,0,1,2,1,0,0,0
2019060041655,4,5,1,2,2,0,0,0,0
20241552599,3,4,1,1,1,0,0,0,0
20251079274,5,5,0,3,2,-1,0,0,0
20250781566,2,5,3,1,2,1,0,0,0
2019100043458,7,5,-2,2,2,0,0,0,0
2019130152112,5,5,0,1,1,0,0,0,0
20230940985,2,5,3,1,2,1,0,0,0
2020130076296,5,5,0,1,1,0,0,0,0
2022140048604,7,5,-2,2,2,0,0,0,0
2021110104372,18,6,-12,5,2,-3,0,0,0
2019170004379,6,5,-1,2,1,-1,0,0,0
2020130143082,5,6,1,1,1,0,0,0,0
2019050030279,7,4,-3,2,1,-1,0,0,0
20231186090,3,6,3,2,2,0,0,0,0
20250813682,7,6,-1,2,2,0,0,0,0
2019110148134,9,6,-3,3,2,-1,0,0,0
2021060035938,11,5,-6,4,2,-2,0,0,0
20250960349,2,5,3,1,2,1,0,0,0
2022100041877,3,5,2,1,2,1,0,0,0
2019120012105,9,8,-1,3,3,0,0,0,0
2021130033920,5,4,-1,1,1,0,0,0,0
2020010059957,13,6,-7,4,2,-2,0,0,0
2022110148207,2,5,3,1,2,1,0,0,0
2019010072962,12,6,-6,3,2,-1,0,0,0
2020180032240,1,4,3,1,2,1,0,0,0
2022110147693,5,6,1,1,2,1,0,0,0
2022060035473,7,5,-2,2,2,0,0,0,0
2021070013758,2,5,3,1,2,1,0,0,0
2022030059849,12,5,-7,2,1,-1,0,0,0
2022060023929,2,6,4,1,2,1,0,0,0
20240771254,5,7,2,1,2,1,0,0,0
2021180011139,11,6,-5,3,2,-1,0,0,0
2021130054309,5,5,0,1,1,0,0,0,0
20250998628,1,5,4,1,2,1,0,0,0
2020110125516,1,4,3,1,1,0,0,0,0
20230254885,9,5,-4,2,2,0,0,0,0
20240665946,10,7,-3,2,2,0,0,0,0
20240855043,7,5,-2,2,2,0,0,0,0
2022010067076,5,6,1,1,2,1,0,0,0
2019080030245,15,5,-10,5,2,-3,0,0,0
2021130183496,3,5,2,1,1,0,0,0,0
2019010038596,2,6,4,1,2,1,0,0,0
2020110159515,9,5,-4,4,2,-2,0,0,0
2019150051620,7,6,-1,2,2,0,0,0,0
2019160010353,5,5,0,1,2,1,0,0,0
2020170017627,5,6,1,1,2,1,0,0,0
2019030072984,5,6,1,1,2,1,0,0,0
2022030073518,6,5,-1,2,1,-1,0,0,0
2019030067982,6,6,0,2,1,-1,0,0,0
2022130141231,4,5,1,1,1,0,0,0,0
20240351352,4,5,1,1,2,1,0,0,0
2019150051675,5,6,1,1,2,1,0,0,0
2020040016509,1,5,4,1,2,1,0,0,0
